ccn,first_year,last_year,n_years,any_merger,treated,fac_name,unaccounted_disappearance,likely_missed_merger,disappearance_year
010018,2011,2018,5,0,0,,1,1,2019
010025,2011,2013,3,0,0,GEORGE H. LANIER MEMORIAL HOSPITAL,1,1,2014
010032,2011,2018,8,0,1,WEDOWEE HOSPITAL,0,0,2019
010054,2011,2013,3,0,0,PARKWAY MEDICAL CENTER,1,1,2014
010146,2011,2018,7,0,1,JACKSONVILLE MEDICAL CENTER,0,0,2019
012013,2011,2016,6,0,0,,1,1,2017
013027,2011,2014,4,0,0,,1,1,2015
014007,2011,2018,8,0,0,,1,1,2019
014009,2011,2015,5,0,0,,1,1,2016
014011,2012,2014,3,0,0,,1,1,2015
020027,2011,2016,6,0,0,MT EDGECUMBE HOSPITAL,1,1,2017
030001,2011,2017,7,0,1,MARYVALE HOSPITAL,0,0,2018
030033,2011,2018,8,0,1,PAYSON REGIONAL MEDICAL CENTER,0,0,2019
030067,2011,2013,3,0,0,LA PAZ REGIONAL HOSPITAL,1,1,2014
030118,2011,2016,6,0,0,YAVAPAI REGIONAL MEDICAL CENTER-EAST,1,1,2017
030120,2011,2017,7,0,0,GILBERT HOSPITAL,1,1,2018
030126,2011,2013,3,0,0,,1,1,2014
030132,2012,2017,6,0,0,,1,1,2018
031303,2011,2014,4,0,0,SOUTHEAST ARIZONA MEDICAL CENTER,1,1,2015
032007,2011,2015,5,0,0,,1,1,2016
032008,2011,2015,5,0,0,,1,1,2016
033301,2011,2017,7,0,0,,1,1,2018
033303,2016,2018,3,0,0,,1,1,2019
040042,2011,2014,4,0,0,CRITTENDEN MEMORIAL HOSPITAL,1,1,2015
040074,2011,2017,7,0,1,NORTH METRO MEDICAL CENTER,0,0,2018
040080,2011,2015,5,0,0,HARRIS HOSPITAL,1,1,2016
041319,2011,2017,7,0,0,"DE QUEEN MEDICAL CENTER, INC",1,1,2018
042000,2011,2014,4,0,0,,1,1,2015
050018,2011,2016,6,0,0,PACIFIC ALLIANCE MEDICAL CENTER,1,1,2017
050046,2011,2014,4,0,0,,1,1,2015
050079,2011,2015,5,0,0,DOCTORS MEDICAL CENTER-SAN PABLO,1,1,2016
050111,2011,2014,4,0,0,TEMPLE COMMUNITY HOSPITAL,1,1,2015
050153,2011,2017,7,0,0,O'CONNOR HOSPITAL,1,1,2018
050196,2011,2015,5,0,0,CENTRAL VALLEY GENERAL HOSPITAL,1,1,2016
050225,2011,2018,8,0,0,FEATHER RIVER HOSPITAL,1,1,2019
050277,2011,2013,3,0,0,PACIFIC HOSPITAL OF LONG BEACH,1,1,2014
050289,2011,2018,8,0,0,SETON MEDICAL CENTER,1,1,2019
050320,2011,2018,8,0,0,ALAMEDA COUNTY MEDICAL CENTER,1,1,2019
050349,2011,2013,3,0,0,CORCORAN DISTRICT HOSPITAL,1,1,2014
050359,2011,2017,7,0,0,TULARE REGIONAL MEDICAL CENTER,1,1,2018
050385,2011,2013,3,0,0,PALM DRIVE HOSPITAL,1,1,2014
050434,2011,2014,4,0,0,COLUSA REGIONAL MEDICAL CENTER,1,1,2015
050552,2011,2017,6,0,0,MOTION PICTURE & TELEVISION HOSPITAL,1,1,2018
050575,2011,2016,6,0,0,TRI-CITY REGIONAL MEDICAL CENTER,1,1,2017
050618,2011,2013,3,0,0,BEAR VALLEY COMMUNITY HOSPITAL,1,1,2014
