ccn,fac_name,change_year,prev_year,ownership_before,ownership_after,ctrl_type_before,ctrl_type_after,any_merger,treated,unaccounted_ownership_change
010022,FLOYD CHEROKEE MEDICAL CENTER,2019,2018.0,for_profit,non_profit,4.0,2,0,1,0
010033,UNIVERSITY OF ALABAMA HOSPITAL,2017,2016.0,government,non_profit,10.0,1,0,0,1
010033,UNIVERSITY OF ALABAMA HOSPITAL,2018,2017.0,non_profit,government,1.0,10,0,0,1
010035,CULLMAN REGIONAL MEDICAL CENTER,2013,2012.0,non_profit,government,1.0,9,0,0,1
010054,,2012,2011.0,for_profit,government,4.0,8,0,0,1
010065,RUSSELL MEDICAL CENTER,2019,2018.0,for_profit,non_profit,6.0,2,0,0,1
010086,NORTHWEST MEDICAL CENTER,2016,2015.0,for_profit,non_profit,4.0,2,0,1,0
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",2018,2017.0,non_profit,government,2.0,10,0,0,1
010125,LAKELAND COMMUNITY HOSPITAL,2016,2015.0,for_profit,non_profit,4.0,2,0,1,0
010129,NORTH BALDWIN INFIRMARY,2012,2011.0,government,non_profit,9.0,2,0,0,1
010158,RUSSELLVILLE HOSPITAL,2016,2015.0,for_profit,non_profit,4.0,2,0,1,0
010169,ATMORE COMMUNITY HOSPITAL,2014,2013.0,non_profit,government,2.0,9,0,1,0
010169,ATMORE COMMUNITY HOSPITAL,2015,2014.0,government,non_profit,9.0,2,1,1,0
013027,,2012,2011.0,non_profit,for_profit,1.0,4,0,0,1
014011,,2013,2012.0,government,for_profit,10.0,4,0,0,1
014011,,2014,2013.0,for_profit,government,4.0,10,0,0,1
014013,,2016,2015.0,for_profit,non_profit,4.0,3,0,0,1
014013,,2018,2017.0,non_profit,for_profit,3.0,4,0,0,1
014014,,2016,2015.0,government,non_profit,9.0,3,0,0,1
014014,,2017,2016.0,non_profit,for_profit,3.0,4,0,0,1
014014,,2018,2017.0,for_profit,government,4.0,9,0,0,1
014015,,2016,2015.0,for_profit,non_profit,4.0,3,0,0,1
014015,,2017,2016.0,non_profit,for_profit,3.0,4,0,0,1
014017,,2013,2012.0,non_profit,government,2.0,9,0,0,1
020026,ALASKA NATIVE MEDICAL CENTER,2013,2012.0,for_profit,government,6.0,7,0,0,1
024001,,2019,2018.0,non_profit,for_profit,2.0,4,0,0,1
030033,BANNER PAYSON MEDICAL CENTER,2015,2014.0,for_profit,non_profit,4.0,2,1,1,0
030071,FORT DEFIANCE INDIAN HOSPITAL,2012,2011.0,government,for_profit,7.0,4,0,0,1
030071,FORT DEFIANCE INDIAN HOSPITAL,2013,2012.0,for_profit,government,4.0,7,0,0,1
030074,SELLS INDIAN HEALTH SERVICE HOSPITAL,2013,2012.0,for_profit,government,4.0,7,0,0,1
030077,SAN CARLOS INDIAN HOSPITAL,2013,2012.0,for_profit,government,4.0,7,0,0,1
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,2013,2012.0,for_profit,government,4.0,7,0,0,1
030113,WHITERIVER PHS INDIAN HOSPITAL,2013,2012.0,for_profit,government,4.0,7,0,0,1
030136,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,2018,2017.0,for_profit,non_profit,5.0,2,0,1,0
032001,,2012,2011.0,for_profit,government,4.0,10,0,0,1
032001,,2013,2012.0,government,for_profit,10.0,4,0,0,1
033025,,2016,2015.0,for_profit,non_profit,4.0,3,0,0,1
033301,,2014,2013.0,non_profit,for_profit,3.0,6,0,0,1
033301,,2016,2015.0,for_profit,non_profit,6.0,2,0,0,1
033301,,2017,2016.0,non_profit,for_profit,2.0,6,0,0,1
040018,BAPTIST HEALTH - VAN BUREN,2019,2018.0,for_profit,non_profit,4.0,2,0,1,0
040047,FIVE RIVERS MEDICAL CENTER,2017,2016.0,non_profit,government,2.0,10,0,0,1
040051,DREW MEMORIAL HOSPITAL,2013,2012.0,government,non_profit,9.0,2,0,0,1
040055,BAPTIST HEALTH - FORT SMITH,2019,2018.0,for_profit,non_profit,4.0,2,0,1,0
040080,,2015,2014.0,for_profit,non_profit,4.0,2,0,0,1
040084,SALINE MEMORIAL HOSPITAL,2016,2015.0,non_profit,for_profit,2.0,4,0,1,0
041302,RIVER VALLEY MEDICAL CENTER,2017,2016.0,government,for_profit,9.0,4,0,1,0
041302,DARDANELLE HOSPITAL,2019,2018.0,for_profit,non_profit,4.0,2,1,1,0
041309,LAWRENCE MEMORIAL HOSPITAL,2019,2018.0,government,non_profit,9.0,2,0,0,1
041326,DELTA MEMORIAL HOSPITAL,2013,2012.0,government,non_profit,10.0,2,0,0,1
042000,,2012,2011.0,for_profit,government,4.0,10,0,0,1
042000,,2013,2012.0,government,for_profit,10.0,4,0,0,1
042000,,2014,2013.0,for_profit,government,4.0,10,0,0,1
042004,,2017,2016.0,non_profit,for_profit,1.0,4,0,0,1
042006,,2012,2011.0,government,for_profit,10.0,4,0,0,1
042008,,2017,2016.0,non_profit,for_profit,1.0,4,0,0,1
042009,,2012,2011.0,government,for_profit,10.0,4,0,0,1
044013,,2018,2017.0,for_profit,non_profit,4.0,1,0,0,1
044017,,2015,2014.0,non_profit,government,2.0,9,0,0,1
044017,,2016,2015.0,government,non_profit,9.0,2,0,0,1
044021,,2019,2018.0,for_profit,non_profit,6.0,2,0,0,1
050084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,2016,2015.0,non_profit,for_profit,1.0,4,0,1,0
050084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,2017,2016.0,for_profit,non_profit,4.0,1,0,1,0
050084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,2018,2017.0,non_profit,for_profit,1.0,4,0,1,0
050084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,2019,2018.0,for_profit,non_profit,4.0,1,1,1,0
050158,ENCINO HOSPITAL MEDICAL CENTER,2016,2015.0,for_profit,non_profit,4.0,2,0,0,1
050179,EMANUEL MEDICAL CENTER,2014,2013.0,non_profit,for_profit,1.0,4,1,1,0
050205,EAST VALLEY GLENDORA HOSPITAL,2017,2016.0,for_profit,non_profit,4.0,2,0,1,0
050225,FEATHER RIVER HOSPITAL,2014,2013.0,for_profit,non_profit,4.0,1,0,0,1
050226,AHMC ANAHEIM REGIONAL MEDICAL CENTER,2013,2012.0,non_profit,for_profit,2.0,4,0,0,1
050272,REDLANDS COMMUNITY HOSPITAL,2012,2011.0,non_profit,government,2.0,8,0,0,1
050272,REDLANDS COMMUNITY HOSPITAL,2016,2015.0,government,non_profit,8.0,2,0,0,1
050280,MERCY MEDICAL CENTER REDDING,2015,2014.0,non_profit,for_profit,1.0,4,0,1,0
050280,MERCY MEDICAL CENTER REDDING,2017,2016.0,for_profit,non_profit,4.0,1,0,1,0
050350,BEVERLY HOSPITAL,2013,2012.0,non_profit,government,2.0,8,0,0,1
050350,BEVERLY HOSPITAL,2016,2015.0,government,non_profit,8.0,2,0,0,1
