fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2017,611885,364045,,10/27/2016,06/30/2017,6,,,,,,,,,
2017,618974,660001,,10/01/2016,09/30/2017,13,,47712134.0,27010.0,,,,3351.0,4403.0,
2017,623594,154064,,11/02/2016,12/31/2016,4,1211196.0,2174588.0,1380.0,,,908.0,2.0,69.0,17553.565217391304
2017,624010,514011,,10/01/2016,09/30/2017,4,,,,,,,,,
2017,624143,453314,,10/01/2016,09/30/2017,2,,,,,,,,,
2017,624416,414003,,10/01/2016,09/30/2017,3,,,,,,,,,
2017,624687,014014,,10/01/2016,09/30/2017,4,,,,,,,,,
2017,625000,244016,,01/01/2017,12/31/2017,3,,,,,,,,,
2017,626753,374017,,10/11/2016,12/31/2016,9,,,,,,,,,
2017,628468,263304,,01/01/2017,12/31/2017,2,,,,,,,,,
2017,628493,374017,,01/01/2017,12/31/2017,2,,,,,,,,,
2017,628516,014015,,01/01/2017,12/31/2017,4,,,,,,,,,
2017,629188,363304,,01/01/2017,12/31/2017,5,,,,,,,,,
2017,629311,393309,,01/01/2017,12/31/2017,4,,,,,,,,,
2017,629419,183300,,01/01/2017,03/31/2017,5,,,,,,,,,
2017,629529,454141,,10/04/2016,12/31/2016,4,,,,,,,,,
2017,629733,363308,,01/01/2017,12/31/2017,5,,,,,,,,,
2017,629833,290042,,01/01/2017,12/31/2017,4,,,,,,,,,
2017,630315,330387,,01/01/2017,12/31/2017,3,,,,,,,,,
2017,630410,371311,,10/01/2016,01/31/2017,9,640788.0,1424667.0,3075.0,1809.0,,173.0,7.0,22.0,29126.727272727272
2017,631047,104073,,11/01/2016,10/31/2017,4,22699809.0,19284489.0,31390.0,,,2766.0,,2628.0,8637.674657534246
2017,631130,184006,,07/01/2017,02/19/2018,6,,,,,,,,,
2017,631151,364038,,05/01/2017,04/30/2018,6,,,,,,,,,
2017,631181,243303,,01/01/2017,12/31/2017,6,,,,,,,,,
2017,631398,143302,,01/01/2017,12/31/2017,6,,,,,,,,,
2017,631405,223303,,01/01/2017,12/31/2017,3,,,,,,,,,
2017,631406,223304,,01/01/2017,12/31/2017,3,,,,,,,,,
