fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge,ccn,fac_name,hrrcode,merger_target,merger_of_equals,bankruptcy,system_exit,system_split,system_id_yr,any_merger,merger_year,treated,years_to_merger,post_merger,match_pair_id
2011,1501,13025,,01/01/2011,12/31/2011,4,39554420.0,28191835.0,36500.0,,,23060.0,230.0,2390.0,16549.96652719665,13025,,,0,0,0,0,0,,0,,0,,0,254
2011,1506,103042,,01/01/2011,12/31/2011,4,26136744.0,21786350.0,29200.0,,,18132.0,214.0,1495.0,17482.771906354516,103042,,,0,0,0,0,0,,0,,0,,0,162
2011,1710,513028,,01/01/2011,12/31/2011,4,18453199.0,12500065.0,18980.0,,,12627.0,,1120.0,16476.070535714287,513028,,,0,0,0,0,0,,0,,0,,0,374
2011,1714,440016,,10/01/2010,09/30/2011,1,15020669.0,16165080.0,25550.0,,362916.0,2650.0,,733.0,20492.045020463847,440016,BAPTIST MEMORIAL HOSPITAL HUNTINGDON,374.0,0,0,0,0,0,86.0,0,,0,,0,727
2011,1795,111314,,10/01/2010,09/30/2011,4,17766713.0,16304993.0,9125.0,21888.0,,2000.0,61.0,283.0,62779.90459363958,111314,PIONEER COMMUNITY HOSPITAL OF EARLY,2.0,0,0,0,0,0,229.0,0,2017.0,1,-6.0,0,656
2011,1890,10169,,10/01/2010,09/30/2011,2,16328100.0,16965629.0,17885.0,,564980.0,4200.0,514.0,1255.0,13010.438247011953,10169,ATMORE COMMUNITY HOSPITAL,134.0,0,0,0,0,0,105.0,0,2015.0,1,-4.0,0,394
2011,5691,102016,,01/01/2011,04/30/2011,1,3956334.0,4859316.0,3480.0,,,2801.0,17.0,92.0,43003.63043478261,102016,,,0,0,0,0,0,,0,,0,,0,743
2011,5998,521317,,10/01/2010,09/30/2011,2,20371432.0,21631559.0,5475.0,36384.0,,1132.0,52.0,482.0,42264.38174273859,521317,CALUMET MEDICAL CTR,446.0,0,0,0,0,0,1220.0,0,2013.0,1,-2.0,0,202
2011,6237,381303,,01/01/2011,12/31/2011,1,43543853.0,45470968.0,9125.0,70032.0,,1661.0,536.0,925.0,47074.435675675675,381303,PROVIDENCE SEASIDE HOSPITAL,344.0,0,0,0,0,0,243.0,0,2016.0,1,-5.0,0,582
2011,6824,10019,,10/01/2010,09/30/2011,9,71788905.0,78609003.0,67525.0,,2432720.0,13835.0,6305.0,6586.0,10900.228515031886,10019,HELEN KELLER MEMORIAL HOSPITAL,1.0,0,0,0,0,0,1361.0,0,2014.0,1,-3.0,0,229
