fiscal_year,PRVDR_NUM,PRVDR_CTRL_TYPE_CD,total_operating_costs,total_discharges,cost_per_discharge,fac_name,hrrcode,merger_year,treated,years_to_merger
2011,13025,4,39554420.0,2390.0,16549.96652719665,,,,0,
2011,103042,4,26136744.0,1495.0,17482.771906354516,,,,0,
2011,513028,4,18453199.0,1120.0,16476.070535714287,,,,0,
2011,10169,2,16328100.0,1255.0,13010.438247011953,ATMORE COMMUNITY HOSPITAL,134.0,2015.0,1,-4.0
2011,521317,2,20371432.0,482.0,42264.38174273859,CALUMET MEDICAL CTR,446.0,2013.0,1,-2.0
2011,381303,1,43543853.0,925.0,47074.435675675675,PROVIDENCE SEASIDE HOSPITAL,344.0,2016.0,1,-5.0
2011,10019,9,71788905.0,6586.0,10900.228515031886,HELEN KELLER MEMORIAL HOSPITAL,1.0,2014.0,1,-3.0
2011,451380,2,4844685.0,367.0,13200.776566757491,EAST TEXAS MEDICAL CENTER QUITMAN,416.0,2018.0,1,-7.0
2011,423028,5,19089399.0,1139.0,16759.788410886744,,,,0,
2011,440151,4,41329795.0,3098.0,13340.798902517754,RIVER PARK HOSPITAL,380.0,2015.0,1,-4.0
2011,334027,2,85359069.0,4022.0,21223.040527100944,,,,0,
2011,431302,2,6072408.0,63.0,96387.42857142857,GETTYSBURG MEMORIAL HOSP - CRITICAL ACCESS HOSP,371.0,2013.0,1,-2.0
2011,443025,2,26250940.0,1243.0,21119.018503620275,,,,0,
2011,440001,8,18382313.0,1096.0,16772.183394160584,UNICOI COUNTY MEMORIAL HOSPITAL,375.0,2013.0,1,-2.0
2011,391309,2,19347582.0,829.0,23338.458383594698,BARNES-KASSON COUNTY HOSPITAL,360.0,,0,
2011,451360,2,4243490.0,366.0,11594.234972677596,MEMORIAL MEDICAL CENTER SAN AUGUSTINE,397.0,2014.0,1,-3.0
2011,351334,1,60373384.0,1513.0,39903.09583608725,MERCY MEDICAL CENTER,324.0,2019.0,1,-8.0
