fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2019,655727,342017,,10/01/2018,01/31/2019,4,5555276.0,4576639.0,4182.0,,,1808.0,,104.0,53416.11538461538
2019,661241,344033,,04/03/2019,06/30/2019,10,29164.0,955682.0,4272.0,,,15.0,,218.0,133.77981651376146
2019,662990,670087,,01/01/2019,06/30/2019,4,2550332.0,3127521.0,1448.0,,1364.0,2.0,,3.0,850110.6666666666
2019,663298,204008,,01/30/2019,06/30/2019,10,,17366509.0,13984.0,,,1554.0,55.0,102.0,
2019,663425,102028,,04/03/2019,06/30/2019,4,4519216.0,4637857.0,14600.0,,,1034.0,,76.0,59463.36842105263
2019,663627,430082,,10/01/2018,06/01/2019,7,,29261753.0,,,,,,,
2019,664023,050784,,01/30/2019,03/14/2019,11,3064592.0,7641912.0,4752.0,,16368.0,133.0,13.0,83.0,36922.79518072289
2019,664144,670127,,01/01/2019,06/30/2019,5,2675580.0,2821336.0,12045.0,,18734.0,914.0,,114.0,23470.0
2019,664851,252008,,06/15/2019,08/31/2019,4,2171802.0,2111561.0,2730.0,,,1426.0,,99.0,21937.39393939394
2019,664996,453314,,10/01/2018,09/30/2019,2,,,,,,,,,
2019,665011,104082,,12/20/2018,10/31/2019,4,4236835.0,11328596.0,23384.0,,,456.0,,676.0,6267.507396449704
2019,665049,452068,,06/15/2019,08/31/2019,4,2318008.0,1952605.0,2418.0,,,1472.0,,111.0,20882.954954954956
2019,665068,103303,,01/01/2019,07/31/2019,1,,,,,,,,,
2019,665156,172004,,06/15/2019,08/31/2019,4,3646569.0,3483330.0,4368.0,,,730.0,199.0,86.0,42401.96511627907
2019,665194,154065,,10/23/2018,12/31/2018,5,1346307.0,6127399.0,4830.0,,,1004.0,29.0,77.0,17484.506493506495
2019,665241,014014,,10/01/2018,09/30/2019,11,,,,,,,,,
2019,665473,371314,,10/01/2018,09/30/2019,2,48491782.0,65176240.0,9125.0,12616.73,,5769.0,100.0,179.0,270903.8100558659
2019,665495,514011,,10/01/2018,09/30/2019,2,,,,,,,,,
2019,665789,161321,,01/01/2019,04/30/2019,2,2912458.0,2977747.0,1680.0,2765.0,,146.0,1.0,38.0,76643.63157894737
2019,665829,371316,,10/01/2018,09/30/2019,2,39087050.0,56124834.0,9125.0,7303.5,,6471.0,54.0,93.0,420290.8602150538
2019,666394,170075,,10/01/2018,09/30/2019,1,2461802.0,3454240.0,7665.0,,134556.0,1067.0,91.0,238.0,10343.70588235294
2019,666536,204005,,10/01/2018,12/31/2018,2,8608404.0,23447340.0,9200.0,,,1385.0,2494.0,542.0,15882.664206642066
2019,666661,042011,,10/01/2018,09/30/2019,6,4170057.0,5190258.0,9855.0,,,2075.0,87.0,162.0,25741.09259259259
2019,667015,031309,,10/01/2018,09/30/2019,2,23846774.0,36602447.0,9125.0,16041.29,,369.0,226.0,244.0,97732.68032786885
2019,667086,362007,,01/01/2019,02/07/2019,5,930318.0,1467809.0,1368.0,,,72.0,27.0,4.0,232579.5
2019,667129,201302,,01/01/2019,09/30/2019,2,68130714.0,68840798.0,7193.0,110008.0,,3099.0,529.0,1136.0,59974.22007042253
2019,667338,031317,,10/01/2018,09/30/2019,2,31197680.0,32648162.0,9125.0,36240.0,,1876.0,436.0,743.0,41988.80215343203
2019,667473,452067,,06/15/2019,08/31/2019,4,1150090.0,1552219.0,5148.0,,,375.0,,34.0,33826.17647058824
2019,667521,014015,,01/01/2019,12/31/2019,4,,,,,,,,,
2019,667613,014017,,10/01/2018,09/30/2019,9,46437682.0,87332373.0,24090.0,,,1475.0,,780.0,59535.489743589744
2019,667892,050751,,01/01/2019,02/14/2019,6,2491824.0,1103448.0,2261.0,,13640.0,12.0,,15.0,166121.6
2019,667964,053038,,01/01/2019,12/31/2019,3,,,,,,,,,
2019,668019,362032,,10/01/2018,09/30/2019,2,7079835.0,6298555.0,10950.0,,,1554.0,208.0,203.0,34876.03448275862
2019,668022,400010,,10/01/2018,09/30/2019,2,,,,,,,,,
2019,668024,414003,,10/01/2018,09/30/2019,5,,,,,,,,,
2019,668112,044021,,01/01/2019,12/31/2019,2,,,,,,,,,
2019,668286,450605,,01/01/2019,03/13/2019,2,,,,,,,,,
2019,668302,444023,,01/01/2019,12/31/2019,4,5748344.0,6529479.0,14600.0,,,2401.0,2898.0,607.0,9470.088962108732
2019,668324,194113,,01/01/2019,12/31/2019,4,7374340.0,8060275.0,13140.0,,,1726.0,697.0,1613.0,4571.81649101054
2019,668994,524038,,10/01/2018,09/30/2019,2,23223139.0,25724125.0,29200.0,,,692.0,1014.0,1661.0,13981.420228777844
2019,669022,374017,,01/01/2019,12/31/2019,4,,,,,,,,,
2019,669035,673068,,11/19/2018,12/31/2018,2,,,,,,,,,
2019,669158,462004,,06/15/2019,08/31/2019,4,3494715.0,3639993.0,3198.0,,,817.0,153.0,144.0,24268.854166666668
2019,669192,372023,,10/01/2018,09/30/2019,13,4350093.0,3461600.0,1460.0,,,188.0,657.0,38.0,114476.13157894737
2019,669374,192023,,01/01/2019,08/25/2019,4,1202831.0,1902729.0,7665.0,,,318.0,1249.0,45.0,26729.577777777777
2019,669376,194107,,10/01/2018,09/30/2019,4,6998798.0,8525318.0,17155.0,,,730.0,,2342.0,2988.385140905209
2019,669638,394050,,01/01/2019,12/31/2019,4,19409366.0,13583524.0,40880.0,,,1601.0,150.0,1334.0,14549.749625187405
2019,669808,254007,,01/01/2019,12/31/2019,4,23239217.0,19788486.0,38325.0,,,445.0,15389.0,2352.0,9880.619472789116
2019,669867,222000,,10/01/2018,09/30/2019,2,65525121.0,83464230.0,65700.0,,,13440.0,,1093.0,59949.79048490393
2019,670061,271325,,01/01/2019,12/31/2019,2,40924873.0,41610863.0,9125.0,57840.0,,2358.0,942.0,776.0,52738.238402061856
2019,670115,034023,,10/01/2018,09/30/2019,2,20871501.0,21419220.0,5840.0,,,639.0,2359.0,778.0,26827.122107969153
2019,670171,152027,,11/01/2018,01/30/2019,6,1429722.0,3865936.0,4416.0,,,430.0,,51.0,28033.764705882353
2019,670224,110087,,08/28/2019,09/30/2019,2,76366791.0,93692303.0,15814.0,,531960.0,2930.0,1937.0,2403.0,31779.771535580523
2019,670267,453309,,01/01/2019,12/31/2019,4,,,,,,,,,
2019,670269,454146,,05/10/2019,12/31/2019,4,3767589.0,8301879.0,18880.0,,,483.0,15.0,780.0,4830.242307692308
2019,670344,154041,,01/01/2019,12/31/2019,4,14423276.0,14053677.0,25915.0,,,1161.0,2842.0,2596.0,5555.961479198767
2019,670431,104073,,11/01/2018,10/31/2019,4,8676111.0,15847772.0,27176.0,,,402.0,,1413.0,6140.205944798301
2019,670464,194083,,01/01/2019,12/31/2019,4,9300461.0,9369015.0,21900.0,,,,276.0,1859.0,5002.937600860678
2019,670516,072003,,10/01/2018,09/30/2019,2,79244786.0,80144912.0,50005.0,,,12640.0,4569.0,1405.0,56401.982918149464
2019,670519,134009,,01/01/2019,12/31/2019,4,36641932.0,42914896.0,5840.0,,,314.0,1215.0,428.0,85611.99065420561
2019,670554,374021,,01/01/2019,12/31/2019,2,11445369.0,16124641.0,25550.0,,,1057.0,12587.0,2176.0,5259.8203125
2019,670871,264017,,01/01/2019,02/10/2019,4,23539.0,1194183.0,4410.0,,,,,,
2019,670906,154005,,01/01/2019,12/31/2019,2,1878529.0,12479260.0,5840.0,,,358.0,464.0,335.0,5607.549253731343
2019,670910,192004,,06/15/2019,08/31/2019,4,2857340.0,3722715.0,4212.0,,,1399.0,21.0,187.0,15279.893048128342
2019,670919,342013,,03/01/2019,09/29/2019,4,15773270.0,14436115.0,10650.0,,,5670.0,,222.0,71050.76576576577
2019,670925,423300,,01/01/2019,12/31/2019,5,,,,,,,,,
2019,671156,331320,,10/15/2018,12/31/2018,2,6271589.0,6305663.0,1950.0,6690.0,,553.0,4.0,82.0,76482.79268292683
